codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,08:45:00,-23.000991,-43.364898,10.9,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],266,True,149830.2,,2025-02-17 08:45:00-03:00
901011,RIV8A74,22,2025-02-17,08:48:50,-23.000628,-43.365536,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],89,True,160286.7,,2025-02-17 08:48:50-03:00
901018,,35,2025-02-17,07:43:00,-22.964902,-43.3914,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],267,False,131266.2,,2025-02-17 07:43:00-03:00
901012,,52,2025-02-17,08:40:01,-22.965123,-43.391274,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],68,False,134078.1,,2025-02-17 08:40:01-03:00
901014,,22,2025-02-17,08:48:50,-23.00322,-43.323871,37.3,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],296,True,159415.3,,2025-02-17 08:48:50-03:00
901007,,22,2025-02-17,08:48:43,-23.000575,-43.334959,11.1,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],90,True,152660.4,,2025-02-17 08:48:43-03:00
901009,,35,2025-02-17,08:48:43,-22.915327,-43.361305,34.2,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],205,True,116181.4,,2025-02-17 08:48:43-03:00
901013,,22,2025-02-17,08:48:40,-22.999936,-43.354451,50.1,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],269,True,152727.2,,2025-02-17 08:48:40-03:00
901010,RJM8G30,50,2025-02-17,08:48:52,-23.001011,-43.364684,0.0,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],262,True,166768.0,,2025-02-17 08:48:52-03:00
901015,,35,2025-02-17,08:40:24,-23.001354,-43.366028,0.2,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],98,True,164239.5,,2025-02-17 08:40:24-03:00
901047,,35,2025-02-17,08:48:28,-22.92842,-43.373501,45.4,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],176,True,37123.9,,2025-02-17 08:48:28-03:00
901017,,22,2025-02-17,08:47:29,-23.000599,-43.364498,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],96,True,135123.4,,2025-02-17 08:47:29-03:00
901063,,51,2025-02-17,08:48:51,-22.963074,-43.393611,8.8,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],36,True,225121.1,,2025-02-17 08:48:51-03:00
902319,,51,2025-02-17,08:48:27,-22.989243,-43.417088,28.2,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],52,True,14850.8,,2025-02-17 08:48:27-03:00
